Jane Smith       10/25/1985  06/15/2010
Laura Smellner   10/20/1947  06/17/2010
Jenna Jones      10/23/1964  07/01/2010
Beth Bonders     10/26/1939  07/14/2010
Grace Johson     10/19/1958  07/29/2010
Mary Contrary    10/22/1981  06/30/2010
Jennifer Palermo 10/21/1953  09/03/2010
Ann Lewis        10/24/1975  08/15/2010
Linda Bentner    10/13/1938  09/04/2010
Francine Scalia  10/14/1963  09/04/2010
Leah Thill       10/15/1949  08/01/2010
Caroline Harris  10/16/1968  08/11/2010
Olivia Knupf     10/17/1972  07/31/2010
Maya Angelson    10/18/1961  07/17/2010
